event_id,event_anchor_at,mention_session,market_event_date,pattern_status,market_data_status,mention_count,channel_count,baseline_active_days,event_active_days,event_max_volume_ratio,event_volume_robust_z,event_peak_return_pct,event_peak_abnormal_return_pct,post_data_status,post_observation_days,post_relative_return_pct,post_max_drawdown_pct,disclosure_status,material_disclosure_observed,news_status,reason_badges
EVT-D3E522737B,2026-06-09 12:00:21+09:00,장중,2026-06-09,주의 패턴 관찰,확인,2,1,15,3,8.568239531464721,3.252903636938977,19.23076923076923,14.815535357235389,15거래일 관찰 완료,15,16.445835902134142,-31.149425287356326,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-B27EB69448,2026-06-09 15:04:57+09:00,장중,2026-06-09,주의 패턴 관찰,확인,13,4,15,3,8.775893493534264,3.924334275302146,25.403225806451623,16.017562149839204,15거래일 관찰 완료,15,-26.768449812151573,-44.98392282958199,관찰 기간 내 공시 확인,False,기사 미확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 관찰 기간 내 공시 확인; 뉴스: 기사 미확인
EVT-C7E82A3867,2026-06-09 20:23:31+09:00,장후,2026-06-10,주의 패턴 관찰,확인,23,3,15,3,8.031693327444179,3.3540202973505515,119.44444444444446,113.11675615852056,15거래일 관찰 완료,15,10.033553764835867,-43.18181818181818,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 언급 시점 뉴스 집중; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-9DA5AEE973,2026-06-10 10:00:27+09:00,장중,2026-06-10,주의 패턴 관찰,확인,6,1,15,3,50.19438246024156,9.132394375473252,30.000000000000004,31.671815748958984,15거래일 관찰 완료,15,-29.76577733884306,-37.4247491638796,관찰 기간 내 공시 미확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
EVT-F927D4AA00,2026-06-10 11:00:30+09:00,장중,2026-06-10,주의 패턴 관찰,확인,10,4,15,3,52.75237160265918,5.942513815648293,29.807692307692314,31.479508056651298,15거래일 관찰 완료,15,-35.73282800154589,-40.55555555555556,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-21E3B990B2,2026-06-11 07:02:08+09:00,장전,2026-06-11,주의 패턴 관찰,확인,2,2,15,3,64.12272626265833,3.916076968071363,74.32624113475177,65.66741364927948,15거래일 관찰 완료,15,-0.585190640068511,-42.33226837060703,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 언급 시점 뉴스 집중; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-22ECC3297C,2026-06-11 10:00:29+09:00,장중,2026-06-11,주의 패턴 관찰,확인,11,4,15,3,56.124956355358165,8.914708604453141,29.826524902070517,25.066271442217424,15거래일 관찰 완료,15,-17.628557602875315,-31.551724137931036,관찰 기간 내 공시 미확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
EVT-71CF4A8340,2026-06-11 10:00:29+09:00,장중,2026-06-11,주의 패턴 관찰,확인,6,1,15,3,3.7438678027368963,1.2821841464670045,29.935965848452504,25.17571238859941,15거래일 관찰 완료,15,-19.341366496169943,-35.93429158110884,관찰 기간 내 공시 미확인,False,기사 미확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 관찰 기간 내 공시 미확인; 뉴스: 기사 미확인
EVT-D77DB54F00,2026-06-11 13:00:25+09:00,장중,2026-06-11,주의 패턴 관찰,확인,3,1,11,3,9.136466530571926,2.6526235116878394,29.880478087649397,25.120224627796304,15거래일 관찰 완료,15,7.130627221890207,-24.33537832310838,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-62E243C188,2026-06-12 11:38:45+09:00,장중,2026-06-12,주의 패턴 관찰,확인,2,2,15,3,11.145151946835913,5.838613573592712,20.93023255813953,17.20880778408318,15거래일 관찰 완료,15,-30.219081860299113,-60.92307692307693,관찰 기간 내 공시 확인,False,기사 미확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 관찰 기간 내 공시 확인; 뉴스: 기사 미확인
